Description	Ensembl GeneIDs
U7 small nuclear RNA	
predicted gene, 22744	ENSMUSG00000065378
predicted gene, 24453	ENSMUSG00000065280
predicted gene, 24452	ENSMUSG00000065281
predicted gene, 25894	ENSMUSG00000065392
predicted gene, 23238	ENSMUSG00000064941
predicted gene, 22680	ENSMUSG00000065782
predicted gene, 23246	ENSMUSG00000065305
predicted gene, 25443	ENSMUSG00000089625
predicted gene, 23300	ENSMUSG00000064646
predicted gene, 22082	ENSMUSG00000088212
predicted gene, 24610	ENSMUSG00000065204
predicted gene, 24782	ENSMUSG00000088266
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene 15384	
predicted gene, 52416	
predicted gene, 52417	
predicted gene, 52418	
predicted gene, 52419	
predicted gene, 52420	
predicted gene, 52421	
predicted gene, 52422	
nucleoside diphosphate kinase B pseudogene	ENSMUSG00000081253
eukaryotic translation initiation factor 4B pseudogene	
predicted gene 3943	
osteoclast-stimulating factor 1 pseudogene	
predicted gene 15016	
acyl-protein thioesterase 1 pseudogene	
ATP synthase F(0) complex subunit C2, mitochondrial pseudogene	
predicted gene, 52426	
predicted gene 15295	
predicted gene, 52427	
predicted gene, 51612	
60S ribosomal protein L37 pseudogene	ENSMUSG00000084308
predicted gene, 52428	
predicted gene, 52430	
predicted gene, 52431	
predicted gene, 52432	
predicted gene, 52433	
predicted gene 53059	
predicted gene, 52434	
predicted gene, 52435	
predicted gene, 52436	
predicted gene, 52437	
predicted gene, 52438	
predicted gene, 52439	
predicted gene, 51613	
predicted gene, 52440	
predicted gene, 52441	
40S ribosomal protein S29 pseudogene	
predicted gene, 52443	
predicted gene, 52444	
predicted gene, 52445	
predicted gene, 52446	
predicted gene, 52447	
predicted gene, 52448	
predicted gene, 52449	
predicted gene, 52450	
predicted gene, 52451	
WW domain binding protein 1-like pseudogene	
elongin-B pseudogene	ENSMUSG00000083486
predicted gene, 52453	
60S acidic ribosomal protein P0 pseudogene	
39S ribosomal protein L30, mitochondrial pseudogene	
predicted gene 14681	
predicted gene, 52456	
predicted gene, 51614	
protein transport protein Sec61 subunit gamma pseudogene	
39S ribosomal protein L30, mitochondrial pseudogene	ENSMUSG00000082996
predicted gene 14870	
nuclear encoded rRNA 5S 2	ENSMUSG00000118952
predicted gene, 25023	ENSMUSG00000119893
predicted gene, 24535	ENSMUSG00000065074
predicted gene, 22062	ENSMUSG00000119728
predicted gene, 24491	ENSMUSG00000065733
predicted gene, 23461	ENSMUSG00000119692
predicted gene, 25257	ENSMUSG00002075357
predicted gene, 22746	ENSMUSG00000118912
predicted gene, 26314	ENSMUSG00000065825
predicted gene, 24522	ENSMUSG00000065898
predicted gene, 24268	ENSMUSG00002075311
predicted gene, 26065	ENSMUSG00000118865
predicted gene, 26111	ENSMUSG00000065903
predicted gene, 25078	ENSMUSG00000119236
predicted gene, 25851	ENSMUSG00000119633
predicted gene, 26437	ENSMUSG00000064529
predicted gene, 26131	ENSMUSG00000064659
predicted gene, 26441	ENSMUSG00000064524
predicted gene, 22359	ENSMUSG00000064818
predicted gene, 22287	ENSMUSG00000119039
predicted gene, 23378	ENSMUSG00000064876
predicted gene, 22686	ENSMUSG00000064781
predicted gene, 23516	ENSMUSG00001118666
predicted gene, 25006	ENSMUSG00000065747
predicted gene, 25629	ENSMUSG00000119217
predicted gene, 22294	ENSMUSG00000119745
predicted gene, 25061	ENSMUSG00000119321
predicted gene, 25797	ENSMUSG00000119240
predicted gene, 23794	ENSMUSG00000119452
predicted gene, 22364	ENSMUSG00000065031
predicted gene, 25895	ENSMUSG00000065648
predicted gene, 22351	ENSMUSG00000065859
predicted gene, 23656	ENSMUSG00000084575
predicted gene, 25047	ENSMUSG00000119926
predicted gene, 22783	ENSMUSG00000077277
predicted gene, 23958	ENSMUSG00000087832
predicted gene, 25332	ENSMUSG00000119580
predicted gene, 23124	ENSMUSG00000088275
predicted gene, 26000	ENSMUSG00000088616
predicted gene, 23199	ENSMUSG00000089437
predicted gene, 23258	ENSMUSG00000088944
predicted gene, 22090	ENSMUSG00000088960
predicted gene, 26487	ENSMUSG00000088647
predicted gene, 25828	ENSMUSG00000087712
predicted gene, 22139	ENSMUSG00000089372
predicted gene, 25552	ENSMUSG00000088706
predicted gene, 26099	ENSMUSG00000087873
predicted gene, 23901	ENSMUSG00000088195
predicted gene, 27510	ENSMUSG00000088839
predicted gene, 24577	ENSMUSG00000089205
predicted gene, 24061	ENSMUSG00000088114
predicted gene, 24598	ENSMUSG00000084459
predicted gene, 23454	ENSMUSG00000065266
predicted gene, 23615	ENSMUSG00000064536
predicted gene, 24493	ENSMUSG00000119532
predicted gene, 26494	ENSMUSG00000119329
predicted gene, 24147	ENSMUSG00000064697
predicted gene, 23613	ENSMUSG00000064530
predicted gene, 25520	ENSMUSG00000089014
predicted gene, 24460	ENSMUSG00000064665
predicted gene, 23404	ENSMUSG00000064477
predicted gene, 23557	ENSMUSG00000088445
predicted gene, 25651	ENSMUSG00000065716
predicted gene, 22472	ENSMUSG00000077303
predicted gene, 25097	ENSMUSG00000077230
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 52469	
small nucleolar RNA SNORA48	
nuclear encoded rRNA 5S 13	ENSMUSG00000118781
predicted gene, 52471	
predicted gene, 23322	ENSMUSG00000077652
predicted gene, 23320	ENSMUSG00000077650
predicted gene, 26401	ENSMUSG00000089127
predicted gene, 24718	ENSMUSG00000088146
predicted gene, 24624	ENSMUSG00000064551
predicted gene, 23786	ENSMUSG00000104536
predicted gene, 24907	ENSMUSG00000080582
predicted gene, 24595	ENSMUSG00000084450
predicted gene, 24831	ENSMUSG00000080428
predicted gene, 26007	ENSMUSG00000089423
small nucleolar RNA U13	
predicted gene, 24622	ENSMUSG00000064553
predicted gene, 25481	ENSMUSG00000065155
predicted gene, 25421	ENSMUSG00000077406
predicted gene, 24038	ENSMUSG00000064806
predicted gene, 25728	ENSMUSG00000077713
predicted gene, 22248	ENSMUSG00000064416
predicted gene, 26312	ENSMUSG00000088394
nuclear encoded rRNA 5S 5	ENSMUSG00000119205
predicted gene, 23000	ENSMUSG00000087708
predicted gene, 25202	ENSMUSG00000064772
predicted gene, 26108	ENSMUSG00000065907
predicted gene, 24763	ENSMUSG00000065622
predicted gene, 26020	ENSMUSG00000084678
predicted gene, 23628	ENSMUSG00000064398
predicted gene, 52473	
predicted gene, 52474	
predicted gene, 52475	
U2 spliceosomal RNA	
nuclear encoded rRNA 5S 7	ENSMUSG00000065689
predicted gene, 52477	
predicted gene, 52478	
predicted gene, 52479	
predicted gene, 52480	
predicted gene, 22580	ENSMUSG00000119338
predicted gene, 26317	ENSMUSG00000119084
predicted gene, 22288	ENSMUSG00000119917
predicted gene, 22057	ENSMUSG00000118858
predicted gene, 25793	ENSMUSG00000119184
predicted gene, 25412	ENSMUSG00000118848
nuclear encoded rRNA 5S 12	ENSMUSG00000119032
predicted gene, 23678	ENSMUSG00000119214
predicted gene, 26125	ENSMUSG00000065291
predicted gene, 22550	ENSMUSG00000118772
predicted gene, 25207	ENSMUSG00000118898
predicted gene, 25812	ENSMUSG00000064685
predicted gene, 21918	
predicted gene, 21908	
predicted gene, 21724	
predicted gene, 21751	
predicted gene, 21843	
predicted gene 28459	
Y-linked testis-specific protein 1-like	
predicted gene, 21828	
predicted gene, 21753	
predicted gene 28093	
predicted gene, 21783	
predicted gene 29317	
predicted gene, 21810	
predicted gene, 21745	
predicted gene, 21805	
predicted gene 28646	ENSMUSG00000100569
Y-linked testis-specific protein 1-like	ENSMUSG00000101318
Y-linked testis-specific protein 1-like	
predicted gene, 21838	
predicted gene, 31186	
predicted gene, 21763	
predicted gene, 52481	
nuclear encoded rRNA 5S 1	ENSMUSG00000075874
predicted gene, 25565	ENSMUSG00000077793
uncharacterized LOC115489309	
U6 spliceosomal RNA	
U2 spliceosomal RNA	
uncharacterized LOC115489316	
serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	
predicted gene, 52482	
predicted gene, 26226	ENSMUSG00000064443
U6 spliceosomal RNA	
predicted gene, 24592	ENSMUSG00000084454
predicted gene, 52483	
fatty acyl CoA reductase 2, opposite strand 1	
predicted gene, 52484	
predicted gene, 52485	
predicted gene, 52486	
predicted gene, 22578	ENSMUSG00000065664
predicted gene, 23462	ENSMUSG00000065198
predicted gene, 52487	
predicted gene, 24712	
predicted gene, 23552	
predicted gene, 23977	
small nucleolar RNA SNORA48	
predicted gene, 24676	
predicted gene, 24072	
predicted gene 13203	ENSMUSG00000087273
predicted gene, 23303	ENSMUSG00000064648
predicted gene, 23318	ENSMUSG00000088625
predicted gene, 24381	ENSMUSG00000084646
predicted gene, 24002	ENSMUSG00000089081
predicted gene, 52489	
predicted gene, 52490	
predicted gene, 24621	ENSMUSG00000064613
small nucleolar RNA SNORA48	
predicted gene, 23845	ENSMUSG00000065768
predicted gene, 24091	ENSMUSG00000119649
predicted gene, 23711	ENSMUSG00000119144
predicted gene, 53227	
predicted gene, 23405	ENSMUSG00000064476
predicted gene, 52492	
predicted gene, 52493	
predicted gene, 52494	
predicted gene, 53228	
predicted gene, 53229	
predicted gene, 53230	
predicted gene, 53231	
predicted gene, 53232	
predicted gene 13166	
predicted gene, 26425	
predicted gene, 53233	
predicted gene, 53234	
predicted gene, 53235	
predicted gene, 53236	
predicted gene, 53237	
predicted gene, 53238	
golgin subfamily A member 6-like protein 22	
fructose-bisphosphate aldolase A pseudogene	ENSMUSG00000080925
ATP synthase F(0) complex subunit C1, mitochondrial pseudogene	ENSMUSG00000082670
predicted gene, 52495	
predicted gene, 52496	
predicted gene 14229	
aldo-keto reductase family 1 member A1-like	
predicted gene, 52497	
predicted gene, 52498	
predicted gene, 52499	
zinc finger protein 717-like	
predicted gene 13194	
predicted gene, 52500	
uncharacterized LOC115489436	
predicted gene 13344	
predicted gene, 52501	
predicted gene, 52502	
predicted gene, 52503	
predicted gene, 52504	
predicted gene 13562	
predicted gene, 52505	
predicted gene, 52506	
predicted gene 13372	
predicted gene, 52507	
60S ribosomal protein L29 pseudogene	
predicted gene, 52508	
predicted gene, 52509	
40S ribosomal protein S3a pseudogene	ENSMUSG00000084177
predicted gene, 52510	
RIKEN cDNA A430018G15 gene	ENSMUSG00000085315
predicted gene, 52511	
predicted gene, 52512	
predicted gene, 52513	
predicted gene, 52514	
predicted gene, 52515	
predicted gene, 52516	
60S ribosomal protein L21 pseudogene	ENSMUSG00000082190
predicted gene, 52517	
predicted gene, 52518	
predicted gene, 52519	
predicted gene, 37004	
predicted gene, 52520	
predicted gene, 52521	
uncharacterized LOC115489466	
RIKEN cDNA 2310047K21 gene	
predicted gene, 52522	
predicted gene, 52523	
predicted gene, 52524	
60S ribosomal protein L27 pseudogene	
predicted gene, 39923	
protein transport protein Sec61 subunit gamma pseudogene	
predicted gene, 52525	
predicted gene, 52526	
predicted gene 14218	
predicted gene, 52527	
ribosomal protein S13, pseudogene 6	ENSMUSG00000082987
ubiquitin-40S ribosomal protein S27a pseudogene	ENSMUSG00000084178
predicted gene, 52528	
predicted gene, 52529	
predicted gene, 52530	
predicted gene 14110	
predicted gene, 52531	
predicted gene, 52532	
predicted gene, 52533	
predicted gene 14200	
uncharacterized LOC115489488	
predicted gene, 52534	
predicted gene, 52535	
ATP synthase F(0) complex subunit C1, mitochondrial pseudogene	
predicted gene, 52536	
predicted gene, 52537	
predicted gene 14275	
predicted gene, 52538	
predicted gene, 52539	
predicted gene, 52540	
predicted gene 14617	
predicted gene, 52541	
predicted gene, 52542	
predicted gene, 52543	
predicted gene, 30455	
UPF0688 protein C1orf174 homolog pseudogene	
predicted gene, 52545	
predicted gene, 52546	
heterogeneous nuclear ribonucleoprotein A3 pseudogene	
predicted gene, 52547	
predicted gene, 52548	
reactive oxygen species modulator 1 pseudogene	
uncharacterized LOC115489511	
predicted gene, 52550	
predicted gene, 52551	
predicted gene 13523	
predicted gene, 52552	
predicted gene, 52553	
predicted gene, 53240	
predicted gene, 52554	
predicted gene, 52555	
predicted gene, 52556	
predicted gene, 52557	
RIKEN cDNA D930003E18 gene	
predicted gene 13963	
predicted gene, 52558	
predicted gene, 52559	
predicted gene, 52560	
predicted gene, 52561	
predicted gene, 52562	
predicted gene, 52563	
protein kish-A pseudogene	
protein transport protein Sec61 subunit gamma pseudogene	
predicted gene, 52564	
predicted gene 14215	ENSMUSG00000083975
predicted gene, 52565	
predicted gene, 52566	
predicted gene, 52567	
selenoprotein K pseudogene	
predicted gene, 52568	
predicted gene, 52569	
predicted gene, 52570	
predicted gene, 33033	
predicted gene 14387	
predicted gene, 52571	
predicted gene, 52572	
zinc finger protein 120-like	
predicted gene 14413	
predicted gene 14409	
predicted gene 14324	
predicted gene, 52573	
predicted gene, 52574	
thymosin beta-15A pseudogene	
predicted gene, 52575	
predicted gene, 52576	
60S ribosomal protein L6 pseudogene	
60S ribosomal protein L39 pseudogene	ENSMUSG00000082091
predicted gene, 52577	
predicted gene 1330	
predicted gene, 34981	
60S ribosomal protein L27 pseudogene	ENSMUSG00000082679
ubiquitin-conjugating enzyme E2 variant 1 pseudogene	ENSMUSG00000082846
ATP synthase membrane subunit DAPIT, mitochondrial pseudogene	ENSMUSG00000084294
nuclear encoded rRNA 5S 204	ENSMUSG00000064906
predicted gene, 22975	ENSMUSG00000119655
predicted gene, 23970	ENSMUSG00000118880
predicted gene, 25081	ENSMUSG00000064468
predicted gene, 26227	ENSMUSG00000064444
predicted gene, 24461	ENSMUSG00000064669
predicted gene, 22245	ENSMUSG00000064413
predicted gene, 22572	ENSMUSG00000064919
predicted gene, 24340	ENSMUSG00000077396
predicted gene, 25147	ENSMUSG00000064964
predicted gene, 25879	ENSMUSG00000077518
predicted gene, 24892	ENSMUSG00000084696
predicted gene, 23463	ENSMUSG00000084417
predicted gene, 23390	ENSMUSG00000088018
predicted gene, 25881	ENSMUSG00000088408
predicted gene, 22675	ENSMUSG00000089055
predicted gene, 24875	ENSMUSG00000089513
predicted gene, 27449	
predicted gene, 22606	ENSMUSG00000088915
predicted gene, 24905	ENSMUSG00000088754
predicted gene, 22708	ENSMUSG00000089612
predicted gene, 23858	ENSMUSG00000089009
predicted gene, 25898	ENSMUSG00000088928
predicted gene, 24134	ENSMUSG00000065295
predicted gene, 22879	ENSMUSG00000064829
small nucleolar RNA SNORD36	
predicted gene, 23925	ENSMUSG00000064405
predicted gene, 24411	ENSMUSG00000065362
predicted gene, 25129	ENSMUSG00000064585
predicted gene, 25187	ENSMUSG00000065840
small nucleolar RNA SNORA71	ENSMUSG00000064995
U7 small nuclear RNA	
U7 small nuclear RNA	
U7 small nuclear RNA	
predicted gene, 27343	ENSMUSG00000088139
predicted gene, 23969	ENSMUSG00000065258
predicted gene, 22192	ENSMUSG00000119688
predicted gene, 25632	ENSMUSG00000119104
predicted gene, 23650	ENSMUSG00000065289
predicted gene, 26236	ENSMUSG00000093277
predicted gene, 22652	ENSMUSG00000065141
predicted gene, 22704	ENSMUSG00000064961
predicted gene, 22813	ENSMUSG00000105886
predicted gene, 25388	ENSMUSG00000087964
predicted gene, 25215	ENSMUSG00000077769
predicted gene, 22889	
predicted gene, 24451	ENSMUSG00000065287
predicted gene, 22298	ENSMUSG00000064596
predicted gene, 23598	ENSMUSG00000087887
predicted gene, 23546	ENSMUSG00000088836
predicted gene, 23716	ENSMUSG00000087973
predicted gene, 25569	ENSMUSG00000087800
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 25189	ENSMUSG00000065845
predicted gene, 52587	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 26505	ENSMUSG00000093660
predicted gene, 25704	ENSMUSG00000065050
predicted gene, 25308	ENSMUSG00000077359
predicted gene, 52590	
predicted gene, 23315	ENSMUSG00000088628
small nucleolar RNA SNORA40	
predicted gene, 25514	ENSMUSG00000065794
predicted gene, 23505	ENSMUSG00000089614
predicted gene, 23187	ENSMUSG00000093645
small nucleolar RNA SNORA76	
predicted gene, 22516	ENSMUSG00000088891
predicted gene, 24644	ENSMUSG00000087739
predicted gene, 25489	ENSMUSG00000089352
predicted gene, 22676	ENSMUSG00000080622
predicted gene, 25541	ENSMUSG00000080538
predicted gene, 25338	ENSMUSG00000080499
small nucleolar RNA U13	
predicted gene, 24221	ENSMUSG00000089458
predicted gene, 52593	
predicted gene, 24409	ENSMUSG00000088506
predicted gene, 23101	ENSMUSG00000088175
U1 spliceosomal RNA	ENSMUSG00000088378
predicted gene, 24037	ENSMUSG00000064805
predicted gene, 23118	ENSMUSG00000084606
predicted gene, 52594	
predicted gene, 52595	
predicted gene, 25703	ENSMUSG00000065057
predicted gene, 52596	
predicted gene, 52597	
predicted gene, 22005	ENSMUSG00000075837
predicted gene, 26478	ENSMUSG00000084560
predicted gene, 26496	ENSMUSG00000118995
predicted gene, 25583	ENSMUSG00000119211
predicted gene, 22352	ENSMUSG00000118793
predicted gene, 25516	ENSMUSG00000119413
predicted gene, 22306	ENSMUSG00000118972
predicted gene, 25258	ENSMUSG00000119228
predicted gene, 25518	ENSMUSG00000118741
predicted gene, 26127	ENSMUSG00000119899
predicted gene, 23731	ENSMUSG00000119260
predicted gene, 22502	ENSMUSG00000119719
predicted gene, 22997	ENSMUSG00000118908
predicted gene, 23452	ENSMUSG00000119241
predicted gene, 23369	ENSMUSG00000093147
predicted gene, 23814	ENSMUSG00000065164
predicted gene, 23503	ENSMUSG00001118663
predicted gene, 23846	ENSMUSG00000119045
predicted gene, 25512	ENSMUSG00000065797
predicted gene, 23691	ENSMUSG00000075826
predicted gene, 52598	
predicted gene, 52599	
prothymosin alpha pseudogene	
predicted gene, 52600	
predicted gene, 52601	
high mobility group protein B1 pseudogene	ENSMUSG00000104514
protein tyrosine phosphatase type IVA 1 pseudogene	
predicted gene, 52602	
predicted gene, 52603	
predicted gene, 52604	
predicted gene 42437	
uncharacterized LOC115489685	
RIKEN cDNA C130075A20 gene	
NEDD8-conjugating enzyme UBE2F pseudogene	
predicted gene, 52605	
40S ribosomal protein S27-like pseudogene	
predicted gene, 52606	
predicted gene, 52607	
predicted gene, 52608	
RIKEN cDNA 6430573P05 gene	ENSMUSG00000102545
predicted gene, 52609	
predicted gene, 52610	
predicted gene, 52611	
predicted gene 43464	
predicted gene, 52612	
predicted gene 43221	
predicted gene, 52613	
predicted gene, 52614	
predicted gene, 52615	
predicted gene 43653	
predicted gene 43522	ENSMUSG00000105716
predicted gene, 52616	
predicted gene, 52617	
predicted gene, 52618	
60S ribosomal protein L21 pseudogene	
predicted gene 43560	
uncharacterized LOC115489710	
predicted gene, 52619	
predicted gene, 52620	
MDS1 and EVI1 complex locus, opposite strand	
predicted gene, 52621	
predicted gene, 52622	
predicted gene 20515	
predicted gene, 52623	
predicted gene, 52624	
predicted gene, 52625	
predicted gene, 37116	
60S ribosomal protein L21 pseudogene	ENSMUSG00000106568
predicted gene, 53242	
uncharacterized LOC115489723	
translation machinery-associated protein 7 pseudogene	
predicted gene, 52626	
predicted gene, 52628	
predicted gene 42722	
predicted gene, 52629	
predicted gene, 52630	
predicted gene, 52631	
predicted gene, 52632	
ubiquitin-conjugating enzyme E2 L3 pseudogene	
predicted gene, 52633	
predicted gene, 52634	
predicted gene 12584	
60S ribosomal protein L31 pseudogene	ENSMUSG00000104792
CDGSH iron-sulfur domain-containing protein 2 pseudogene	
predicted gene, 52635	
predicted gene, 52636	
predicted gene, 52637	
predicted gene, 52638	
predicted gene 43405	ENSMUSG00000104944
predicted gene, 52639	
predicted gene, 52640	
predicted gene, 53243	
cytochrome b-c1 complex subunit 8 pseudogene	
uncharacterized protein C9orf85 homolog pseudogene	
nuclear encoded rRNA 5S 194	ENSMUSG00000119546
predicted gene, 26204	ENSMUSG00000119325
predicted gene, 24614	ENSMUSG00000065203
predicted gene, 22505	ENSMUSG00000064890
predicted gene, 25080	ENSMUSG00000064460
predicted gene, 23269	ENSMUSG00000119025
predicted gene, 23733	ENSMUSG00000065684
predicted gene, 23379	ENSMUSG00000118829
predicted gene, 26107	ENSMUSG00000119741
U6 spliceosomal RNA	ENSMUSG00000119828
predicted gene, 25755	ENSMUSG00000119678
predicted gene, 26166	ENSMUSG00000065722
predicted gene, 22421	ENSMUSG00000119343
predicted gene, 23096	ENSMUSG00000119731
predicted gene, 23941	ENSMUSG00000075903
predicted gene, 24457	ENSMUSG00000065130
predicted gene, 25890	ENSMUSG00000118698
predicted gene, 25132	ENSMUSG00000064586
predicted gene, 23725	ENSMUSG00000119092
predicted gene, 22458	ENSMUSG00000118872
predicted gene, 25681	ENSMUSG00000065872
predicted gene, 25039	ENSMUSG00000064867
predicted gene, 25199	ENSMUSG00000065029
predicted gene, 22575	ENSMUSG00000064915
predicted gene, 22301	ENSMUSG00000064590
predicted gene, 24704	ENSMUSG00000070227
predicted gene, 25696	ENSMUSG00000119567
predicted gene, 22614	ENSMUSG00000118936
predicted gene, 23038	ENSMUSG00000065807
predicted gene, 24150	ENSMUSG00000064693
predicted gene, 26076	ENSMUSG00000119642
predicted gene, 22935	ENSMUSG00000077148
predicted gene, 24185	ENSMUSG00000084527
predicted gene, 24593	ENSMUSG00000084456
predicted gene, 26091	
predicted gene, 26420	ENSMUSG00000077461
predicted gene, 24435	ENSMUSG00000088511
predicted gene, 24382	ENSMUSG00000084647
predicted gene, 24830	ENSMUSG00000119427
predicted gene, 22577	ENSMUSG00000065665
predicted gene, 23337	ENSMUSG00000089584
predicted gene, 22165	ENSMUSG00000089039
predicted gene, 23025	ENSMUSG00000089394
predicted gene, 26468	ENSMUSG00000089269
predicted gene, 23196	ENSMUSG00000089431
predicted gene, 22078	ENSMUSG00000088218
predicted gene, 22491	ENSMUSG00000087815
predicted gene, 24481	ENSMUSG00000087835
predicted gene, 24851	ENSMUSG00000088653
U1 spliceosomal RNA	ENSMUSG00000119774
predicted gene, 24223	ENSMUSG00000089452
predicted gene, 52641	
predicted gene, 26485	
predicted gene, 22279	ENSMUSG00000087825
predicted gene, 26279	ENSMUSG00000087720
predicted gene, 25592	ENSMUSG00000064569
predicted gene, 25056	ENSMUSG00000087997
U7 small nuclear RNA	
predicted gene, 27811	ENSMUSG00000098444
U7 small nuclear RNA	
predicted gene, 52644	
U7 small nuclear RNA	
predicted gene, 25802	ENSMUSG00000064573
predicted gene, 24920	ENSMUSG00000064952
predicted gene, 22480	ENSMUSG00000084517
predicted gene, 23686	ENSMUSG00000119287
predicted gene, 24494	ENSMUSG00000065738
predicted gene, 22581	ENSMUSG00000065669
predicted gene, 24728	ENSMUSG00000088851
predicted gene, 24608	ENSMUSG00000077569
predicted gene, 24136	ENSMUSG00000119563
predicted gene, 25188	ENSMUSG00000065847
predicted gene, 22293	ENSMUSG00000065248
predicted gene, 25820	ENSMUSG00000105448
predicted gene, 22944	ENSMUSG00000089287
predicted gene, 24780	ENSMUSG00000088260
predicted gene, 24963	ENSMUSG00000088541
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 23511	ENSMUSG00000118871
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 24046	ENSMUSG00000065045
nuclear encoded rRNA 5S 195	ENSMUSG00000118708
predicted gene, 23330	ENSMUSG00000119106
predicted gene, 23376	ENSMUSG00000064872
predicted gene, 26442	ENSMUSG00000064522
predicted gene, 22826	ENSMUSG00000065708
predicted gene, 22433	ENSMUSG00000089175
predicted gene, 22713	ENSMUSG00000080545
predicted gene, 23336	ENSMUSG00000080673
predicted gene, 23796	ENSMUSG00000065945
predicted gene, 23441	ENSMUSG00000087893
predicted gene, 52657	
small nucleolar RNA U13	
predicted gene, 23897	ENSMUSG00000088735
predicted gene, 22009	ENSMUSG00000089417
predicted gene, 22043	ENSMUSG00000064927
predicted gene, 25796	ENSMUSG00000064579
predicted gene, 23054	ENSMUSG00000064738
predicted gene, 25627	ENSMUSG00000065937
predicted gene, 23464	ENSMUSG00000065079
nuclear encoded rRNA 5S 197	ENSMUSG00000118681
predicted gene, 52659	
predicted gene, 23850	ENSMUSG00000065764
predicted gene, 22361	ENSMUSG00000089060
predicted gene, 23467	ENSMUSG00000087752
predicted gene, 26361	ENSMUSG00000089493
predicted gene, 22451	ENSMUSG00000084752
predicted gene, 25572	ENSMUSG00000088152
predicted gene, 52660	
predicted gene, 22073	ENSMUSG00000084617
predicted gene, 52661	
predicted gene, 52662	
predicted gene, 52663	
predicted gene, 52664	
predicted gene, 52665	
predicted gene, 23214	ENSMUSG00000084665
predicted gene, 25127	ENSMUSG00000118723
predicted gene, 22798	ENSMUSG00000119552
predicted gene, 25869	ENSMUSG00000119891
predicted gene, 22682	ENSMUSG00000119756
predicted gene, 24260	ENSMUSG00000119200
predicted gene, 22295	ENSMUSG00000118721
predicted gene, 24458	ENSMUSG00000118687
predicted gene, 24584	ENSMUSG00000119833
predicted gene, 24456	ENSMUSG00000119894
predicted gene, 26465	ENSMUSG00000119738
predicted gene 12655	ENSMUSG00000087128
predicted gene 12796	
predicted gene, 52666	
predicted gene, 52667	
predicted gene, 52668	
predicted gene, 52669	
predicted gene, 52670	
predicted gene, 52671	
predicted gene 12786	
predicted gene, 52672	
predicted gene, 52673	
predicted gene, 52674	
predicted gene, 52675	
predicted gene, 52676	
predicted gene, 52677	
predicted gene, 52678	
Riken cDNA 4933427I04 gene	ENSMUSG00000073761
predicted gene, 52679	
predicted gene, 52680	
predicted gene, 52681	
predicted gene, 52682	
predicted gene, 52683	
uncharacterized LOC115489908	
predicted gene, 52684	
predicted gene, 52685	
predicted gene, 53244	
predicted gene 9867	
RIKEN cDNA C630004L07 gene	
predicted gene, 52686	
predicted gene 15969	
predicted gene, 52687	
predicted gene, 52688	
predicted gene, 52689	
predicted gene, 52690	
predicted gene, 52691	
predicted gene 12837	
predicted gene, 52692	
predicted gene, 52693	
predicted gene, 52694	
predicted gene, 52695	
predicted gene, 52696	
predicted gene, 52697	
predicted gene, 52698	
predicted gene, 52699	
predicted gene, 52700	
predicted gene, 53245	
predicted gene 11850	ENSMUSG00000082552
predicted gene, 53246	
PEST proteolytic signal-containing nuclear protein pseudogene	
predicted gene, 52701	
predicted gene 12743	
predicted gene, 52702	
predicted gene, 52703	
predicted gene, 52704	
predicted gene, 52705	
predicted gene 12867	
predicted gene, 52706	
enoyl-CoA hydratase domain-containing protein 2, mitochondrial pseudogene	
predicted gene 12930	
predicted gene, 52707	
predicted gene, 30191	ENSMUSG00000108398
uncharacterized LOC115489947	ENSMUSG00000059291
predicted gene, 52708	
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 pseudogene	ENSMUSG00000081352
zinc finger protein 988	ENSMUSG00000078498
60S ribosomal protein L29 pseudogene	
60S acidic ribosomal protein P1 pseudogene	ENSMUSG00000083235
predicted gene, 21411	ENSMUSG00000045699
predicted gene, 52709	
predicted gene, 52710	
predicted gene, 52711	
predicted gene, 52712	
predicted gene 12401	ENSMUSG00000081866
predicted gene, 52713	
predicted gene, 52714	
predicted gene, 52715	
predicted gene, 52716	
predicted gene, 52717	
TATA-box binding protein associated factor 9, pseudogene	
predicted gene, 52718	
predicted gene 12897	
predicted gene, 52719	
