	Description	Ensembl GeneIDs
143457	olfactory receptor family 51 subfamily G member 2	ENSG00000176893
143458	olfactory receptor family 51 subfamily A member 10 pseudogene	ENSG00000230484
143459	olfactory receptor family 4 subfamily R member 3 pseudogene	ENSG00000254624
143461	olfactory receptor family 4 subfamily P member 4	ENSG00000181927
143462	olfactory receptor family 4 subfamily D member 7 pseudogene	ENSG00000254770
143463	olfactory receptor family 4 subfamily C member 15	ENSG00000181939
143464	olfactory receptor family 4 subfamily C member 14 pseudogene	ENSG00000233301
143465	olfactory receptor family 4 subfamily A member 8 (gene/pseudogene)	ENSG00000225997
143466	olfactory receptor family 4 subfamily A member 7 pseudogene	ENSG00000255349
143467	olfactory receptor family 4 subfamily A member 5	ENSG00000221840
143468	olfactory receptor family 4 subfamily A member 3 pseudogene	ENSG00000254464
143469	olfactory receptor family 4 subfamily A member 21 pseudogene	ENSG00000181943
143470	olfactory receptor family 4 subfamily A member 19 pseudogene	ENSG00000254940
143471	olfactory receptor family 4 subfamily A member 18 pseudogene	ENSG00000254637
143472	olfactory receptor family 4 subfamily A member 16	ENSG00000181961
143473	olfactory receptor family 4 subfamily A member 15	ENSG00000181958
143476	olfactory receptor family 4 subfamily A member 12 pseudogene	ENSG00000254723
143477	olfactory receptor family 2 subfamily AH member 1 pseudogene	ENSG00000232511
143478	olfactory receptor family 10 subfamily Y member 1 pseudogene	ENSG00000254403
143479	olfactory receptor family 10 subfamily W member 1	ENSG00000172772
143480	olfactory receptor family 10 subfamily V member 3 pseudogene	ENSG00000254743
143481	olfactory receptor family 10 subfamily V member 2 pseudogene	ENSG00000255538
143482	olfactory receptor family 10 subfamily Q member 2 pseudogene	ENSG00000272900
143483	olfactory receptor family 7 subfamily M member 1 pseudogene	ENSG00000273336
143485	olfactory receptor family 7 subfamily E member 110 pseudogene	ENSG00000235623
143487	olfactory receptor family 7 subfamily E member 116 pseudogene	ENSG00000225072
143488	olfactory receptor family 7 subfamily E member 108 pseudogene	ENSG00000270432
143489	olfactory receptor family 2 subfamily AM member 1 pseudogene	ENSG00000236110
143490	olfactory receptor family 13 subfamily C member 7 (gene/pseudogene)	ENSG00000243641
143493	olfactory receptor family 4 subfamily F member 7 pseudogene	ENSG00000217874
143494	olfactory receptor family 2 subfamily AE member 1	ENSG00000244623
143495	olfactory receptor family 4 subfamily F member 16	ENSG00000284662
143496	olfactory receptor family 2 subfamily W member 6 pseudogene	ENSG00000168126
143497	olfactory receptor family 2 subfamily W member 4 pseudogene	ENSG00000216629
143498	olfactory receptor family 7 subfamily E member 99 pseudogene	ENSG00000250710
143500	olfactory receptor family 7 subfamily E member 122 pseudogene	ENSG00000215160
143501	olfactory receptor family 7 subfamily E member 100 pseudogene	ENSG00000242525
143502	olfactory receptor family 5 subfamily AC member 1 (gene/pseudogene)	ENSG00000213439
143503	olfactory receptor family 4 subfamily G member 6 pseudogene	ENSG00000275771
143504	olfactory receptor family 9 subfamily H member 1 pseudogene	ENSG00000228336
143505	olfactory receptor family 6 subfamily R member 1 pseudogene	ENSG00000230576
143506	olfactory receptor family 6 subfamily N member 2	ENSG00000188340
143507	olfactory receptor family 6 subfamily K member 2	ENSG00000196171
143508	olfactory receptor family 6 subfamily K member 1 pseudogene	ENSG00000231237
143509	olfactory receptor family 2 subfamily T member 7	ENSG00000227152
143510	olfactory receptor family 2 subfamily L member 9 pseudogene	ENSG00000237492
143511	olfactory receptor family 2 subfamily L member 6 pseudogene	ENSG00000232215
143512	olfactory receptor family 2 subfamily L member 5	ENSG00000197454
143513	olfactory receptor family 2 subfamily G member 3	ENSG00000177476
143514	olfactory receptor family 2 subfamily G member 2	ENSG00000177489
143515	olfactory receptor family 2 subfamily C member 3	ENSG00000196242
143517	olfactory receptor family 2 subfamily AQ member 1 pseudogene	ENSG00000229724
143520	olfactory receptor family 10 subfamily AA member 1 pseudogene	ENSG00000180409
143521	family with sequence similarity 117 member A	ENSG00000121104
143522	MIR600 host gene	ENSG00000236901
143524	chromosome 6 open reading frame 62	ENSG00000112308
143525	olfactory receptor family 2 subfamily W member 2 pseudogene	ENSG00000217315
143526	olfactory receptor family 2 subfamily B member 7 pseudogene	ENSG00000187763
143527	olfactory receptor family 2 subfamily B member 2	ENSG00000168131
143531	zinc finger protein 611	ENSG00000213020
143532	keratin associated protein 9-9	ENSG00000198083
143533	keratin associated protein 4-6	ENSG00000198090
143534	keratin associated protein 2-1	ENSG00000212725
143535	solute carrier family 7 member 5 pseudogene 1	ENSG00000260727
143542	H2A clustered histone 10, pseudogene	ENSG00000218690
143545	LRRC2 antisense RNA 1	ENSG00000268324
143547	long intergenic non-protein coding RNA 208	ENSG00000170983
143548	FAM167A antisense RNA 1	ENSG00000184608
143549	ribosomal protein S6 kinase like 1	ENSG00000198208
143551	zinc finger protein 484	ENSG00000127081
143552	cytochrome P450 family 2 subfamily G member 2, pseudogene	ENSG00000268101
143555	olfactory receptor family 1 subfamily D member 5	ENSG00000262628
143556	testis-specific transcript, Y-linked 5	ENSG00000215560
143559	testis-specific transcript, Y-linked 12	ENSG00000237048
143560	testis-specific transcript, Y-linked 13	ENSG00000184991
143561	testis-specific transcript, Y-linked 14	ENSG00000176728
143562	eukaryotic translation initiation factor 3 subunit F pseudogene 2	ENSG00000279081
143563	tubulin tyrosine ligase like 2	ENSG00000120440
143564	WD repeat domain 87	ENSG00000171804
143565	keratin associated protein 3-1	ENSG00000212901
143566	keratin associated protein 9-2	ENSG00000239886
143567	keratin associated protein 9-3	ENSG00000204873
143568	keratin associated protein 9-8	ENSG00000187272
143569	olfactory receptor family 1 subfamily P member 1 (gene/pseudogene)	ENSG00000262085
143570	NACA family member 4, pseudogene	ENSG00000228224
143572	FERM domain containing 8 pseudogene 1	ENSG00000227942
143574	protocadherin gamma subfamily B, 9 pseudogene	ENSG00000276545
143575	chromosome 3 open reading frame 20	ENSG00000131379
143576	immunoglobulin lambda constant/OR22-2 (pseudogene)	ENSG00000243519
143586	leucine rich repeats and IQ motif containing 1	ENSG00000133640
143587	synapse defective Rho GTPase homolog 2	ENSG00000097096
143588	methyltransferase like 25	ENSG00000127720
143589	Putative uncharacterized protein FLJ92257	ENSG00000236529
143590	zinc finger MYND-type containing 12	ENSG00000066185
143592	hydroxyacylglutathione hydrolase like	ENSG00000103253
143594	protease associated domain containing 1	ENSG00000135617
143595	ZBTB7C antisense RNA 2	ENSG00000280197
143596	methyltransferase like 26	ENSG00000130731
143597	transmembrane protein 101	ENSG00000091947
143598	zinc finger protein 527	ENSG00000189164
143599	long intergenic non-protein coding RNA 1547	ENSG00000183250
143601	failed axon connections homolog, metaxin like GST domain containing	ENSG00000146267
143603	lysozyme like 1	ENSG00000120563
143604	zinc finger and BTB domain containing 37	ENSG00000185278
143605	keratin associated protein 4-4	ENSG00000171396
143606	KRAB-A domain containing 1	ENSG00000133619
143607	long intergenic non-protein coding RNA 852	ENSG00000231177
143609	zinc finger protein 347	ENSG00000197937
143612	membrane spanning 4-domains A14	ENSG00000166928
143614	family with sequence similarity 167 member B	ENSG00000183615
143615	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	ENSG00000237172
143616	tripartite motif-containing 51	ENSG00000124900
143622	uncharacterized protein MGC12916	ENSG00000266709
143623	RNA polymerase II subunit J4, pseudogene	ENSG00000214783
143624	SFT2 domain containing 3	ENSG00000173349
143625	ankyrin repeat domain 36B pseudogene 1	ENSG00000214262
143627	long intergenic non-protein coding RNA 525	ENSG00000146666
143628	GLIS3 antisense RNA 1	ENSG00000237009
143629	ATP1A1 antisense RNA 1	ENSG00000203865
143630	long intergenic non-protein coding RNA 839	ENSG00000185904
143631	coiled-coil domain containing 142	ENSG00000135637
143632	zinc finger protein 514	ENSG00000144026
143633	zinc finger and BTB domain containing 45	ENSG00000119574
143634	ribosomal protein L3 pseudogene 1	ENSG00000228149
143635	ribosomal protein L23a pseudogene 3	ENSG00000214914
143636	family with sequence similarity 222 member A	ENSG00000139438
143637	LDL receptor related protein 11	ENSG00000120256
143638	long intergenic non-protein coding RNA 1101	ENSG00000280409
143639	abhydrolase domain containing 13	ENSG00000139826
143640	MPN domain containing	ENSG00000008382
143641	alkB homolog 6	ENSG00000239382
143642	FAM222A antisense RNA 1	ENSG00000255650
143643	JMJD1C antisense RNA 1	ENSG00000272767
143644	URB1 antisense RNA 1 (head to head)	ENSG00000256073
143645	uncharacterized protein MGC16275	ENSG00000246731
143646	BFSP2 antisense RNA 1	ENSG00000249993
143647	transcription elongation factor A like 3	ENSG00000196507
143648	transmembrane protein 141	ENSG00000244187
143649	transmembrane protein 60	ENSG00000135211
143650	ARRDC1 antisense RNA 1	ENSG00000203993
143651	keratin associated protein 9-4	ENSG00000241595
143652	keratin associated protein 4-1	ENSG00000198443
143653	keratin associated protein 4-5	ENSG00000198271
143654	keratin associated protein 4-3	ENSG00000196156
143655	keratin associated protein 4-2	ENSG00000244537
143656	keratin associated protein 3-3	ENSG00000212899
143657	keratin associated protein 2-4	ENSG00000213417
143667	keratin 87, pseudogene	ENSG00000135477
143668	shisa like 1	ENSG00000138944
143669	keratin associated protein 4-16	ENSG00000241241
143674	small nucleolar RNA, C/D box 14E	ENSG00000200879
143675	KIAA1755	ENSG00000149633
143676	protein serine kinase H2	ENSG00000147613
143677	ribosomal protein S19 pseudogene 1	ENSG00000214612
143678	ribosomal protein S19 pseudogene 2	ENSG00000233839
143679	scratch family transcriptional repressor 2	ENSG00000215397
143680	inactivation escape 2	ENSG00000281371
143683	ribosomal protein L12 pseudogene 12	ENSG00000236992
143685	olfactory receptor family 7 subfamily E member 4 pseudogene	ENSG00000255261
143687	olfactory receptor family 7 subfamily E member 2 pseudogene	ENSG00000255203
143689	olfactory receptor family 5 subfamily G member 1 pseudogene	ENSG00000181296
143690	olfactory receptor family 5 subfamily D member 3 pseudogene	ENSG00000186886
143692	olfactory receptor family 4 subfamily A member 1 pseudogene	ENSG00000254408
143694	ribosomal protein S2 pseudogene 7	ENSG00000235508
143695	keratin 41, pseudogene	ENSG00000225438
143699	ribosomal protein L7a pseudogene 50	ENSG00000213609
143701	HERC2 pseudogene 6	ENSG00000261418
143704	cyclin D3 pseudogene 1	ENSG00000224473
143712	transmembrane protein 116	ENSG00000198270
143713	galactosidase beta 1 like 2	ENSG00000149328
143715	uncharacterized LOC90024	ENSG00000254531
143716	family with sequence similarity 181 member A	ENSG00000140067
143717	zinc finger protein 30	ENSG00000168661
143718	von Willebrand factor A domain containing 5B2	ENSG00000145198
143719	transmembrane protein 250	ENSG00000238227
143720	keratin 8 pseudogene 12	ENSG00000229320
143721	ribosomal protein L7 pseudogene 6	ENSG00000227525
143722	zinc finger protein 551	ENSG00000204519
143724	CEA cell adhesion molecule 21	ENSG00000007129
143725	EF-hand calcium binding domain 12	ENSG00000172771
143726	tumor protein p53 inducible protein 13	ENSG00000167543
143727	zinc finger protein 616	ENSG00000204611
143728	zinc finger protein 766	ENSG00000196214
143729	fer-1 like family member 5	ENSG00000249715
143731	zinc finger protein 835	ENSG00000127903
143733	leucine rich repeat containing 46	ENSG00000141294
143734	zinc finger protein 799	ENSG00000196466
143735	zinc finger protein 625	ENSG00000257591
143736	zinc finger protein 700	ENSG00000196757
143737	zinc finger protein 439	ENSG00000171291
143738	NEDD4 binding protein 2 like 1	ENSG00000139597
143739	zinc finger protein 486	ENSG00000256229
143740	coiled-coil domain containing 126	ENSG00000169193
143741	family with sequence similarity 104 member B	ENSG00000182518
143743	cilia and flagella associated protein 119	ENSG00000196118
143744	NT5C3A pseudogene 1	ENSG00000213492
143745	zinc finger protein 697	ENSG00000143067
143746	zinc finger protein 682	ENSG00000197124
143747	RAPGEF4 antisense RNA 1	ENSG00000228016
143748	nucleoporin 210 like	ENSG00000143552
143750	RNA 5'-phosphate and 3'-OH ligase 1	ENSG00000133641
143751	R3H domain containing 4	ENSG00000198858
143752	GUSB pseudogene 11	ENSG00000228315
143755	LIF antisense RNA 2	ENSG00000268812
143756	small nucleolar RNA, C/D box 107	ENSG00000276314
143757	zinc finger protein 502	ENSG00000196653
143759	coiled-coil domain containing 74B	ENSG00000152076
143761	PC-esterase domain containing 1B	ENSG00000179715
143762	NEK2 divergent transcript	ENSG00000231057
143763	ribosomal protein S2 pseudogene 40	ENSG00000197149
143765	zinc finger protein 765	ENSG00000196417
143766	zinc finger protein 845	ENSG00000213799
143768	ferredoxin-fold anticodon binding domain containing 1	ENSG00000255561
143769	chromosome 11 open reading frame 52	ENSG00000149300
143770	long intergenic non-protein coding RNA 923	ENSG00000251209
143772	RAD17 pseudogene 1	ENSG00000232400
143773	oxidoreductase NAD binding domain containing 1	ENSG00000154814
143774	long intergenic non-protein coding RNA 1278	ENSG00000235437
143776	zinc finger protein 585B	ENSG00000245680
143777	proline rich 29	ENSG00000224383
143778	chromosome 1 open reading frame 105	ENSG00000180999
143779	2-phosphoxylose phosphatase 1	ENSG00000155893
143780	ribosomal protein S2 pseudogene 4	ENSG00000196183
143781	ribosomal protein S4X pseudogene 2	ENSG00000226948
143782	ribosomal protein S15a pseudogene 1	ENSG00000214535
143783	transmembrane protein 169	ENSG00000163449
143784	tubulin beta pseudogene 1	ENSG00000127589
143786	coiled-coil domain containing 102A	ENSG00000135736
143788	small nucleolar RNA, C/D box 30	ENSG00000277846
143792	testis expressed 30	ENSG00000151287
143793	transmembrane protein 44	ENSG00000145014
143794	zinc finger protein 561	ENSG00000171469
143795	ribosomal protein S10 pseudogene 5	ENSG00000101278
143796	5-hydroxytryptamine receptor 7 pseudogene 1	ENSG00000183935
143797	cilia and flagella associated protein 107	ENSG00000157330
143799	uncharacterized LOC93429	ENSG00000268460
143800	maltase-glucoamylase 2 (putative)	ENSG00000257743
143801	uncharacterized LOC93463	ENSG00000124835
143805	Morf4 family associated protein 1 like 2	ENSG00000170846
143806	ST7 antisense RNA 1	ENSG00000227199
143807	ST7 antisense RNA 2	ENSG00000226367
143808	ST7 overlapping transcript 3	ENSG00000004866
143809	RAB9B, member RAS oncogene family pseudogene 1	ENSG00000232159
143810	Helicobacter pylori responsive 1	ENSG00000253521
143816	ribosomal protein S23 pseudogene 1	ENSG00000243504
143823	POM121 transmembrane nucleoporin like 2	ENSG00000158553
143824	leucine rich repeat containing 4B	ENSG00000131409
143825	leukocyte receptor cluster member 9	ENSG00000275183
143829	CMT1A duplicated region transcript 7	ENSG00000259944
143836	small nucleolar RNA, C/D box 46	ENSG00000200913
143837	small nucleolar RNA, C/D box 38A	ENSG00000202031
143841	protein phosphatase 1 regulatory inhibitor subunit 11 pseudogene 2	ENSG00000231765
143843	myosin light chain kinase pseudogene 1	ENSG00000228868
143845	protein phosphatase 1 regulatory inhibitor subunit 1A pseudogene 1	ENSG00000255255
143846	olfactory receptor family 7 subfamily E member 22 pseudogene	ENSG00000179799
143848	olfactory receptor family 7 subfamily E member 21 pseudogene	ENSG00000251178
143849	olfactory receptor family 1 subfamily R member 1 pseudogene	ENSG00000180042
143850	SMAD5 antisense RNA 1	ENSG00000164621
143852	LIM zinc finger domain containing 3	ENSG00000256977
143853	KIAA0087 lncRNA	ENSG00000122548
143854	zinc finger protein 623	ENSG00000183309
0	gene trap ROSA 26, Philippe Soriano	ENSMUSG00000086429
1	transformation related protein 53	ENSMUSG00000059552
2	apolipoprotein E	ENSMUSG00000002985
3	toll-like receptor 4	ENSMUSG00000039005
4	tumor necrosis factor	ENSMUSG00000024401
5	interferon gamma	ENSMUSG00000055170
6	leptin receptor	ENSMUSG00000057722
7	leptin	ENSMUSG00000059201
8	interleukin 10	ENSMUSG00000016529
9	interleukin 6	ENSMUSG00000025746
10	transforming growth factor, beta 1	ENSMUSG00000002603
11	catenin (cadherin associated protein), beta 1	ENSMUSG00000006932
12	myeloid differentiation primary response gene 88	ENSMUSG00000032508
13	dystrophin, muscular dystrophy	ENSMUSG00000045103
14	toll-like receptor 2	ENSMUSG00000027995
15	Fas (TNF receptor superfamily member 6)	ENSMUSG00000024778
16	nuclear factor, erythroid derived 2, like 2	ENSMUSG00000015839
17	signal transducer and activator of transcription 3	ENSMUSG00000004040
18	phosphatase and tensin homolog	ENSMUSG00000013663
19	sonic hedgehog	ENSMUSG00000002633
20	APC, WNT signaling pathway regulator	ENSMUSG00000005871
21	thymoma viral proto-oncogene 1	ENSMUSG00000001729
22	recombination activating 1	ENSMUSG00000061311
23	nitric oxide synthase 2, inducible	ENSMUSG00000020826
24	low density lipoprotein receptor	ENSMUSG00000032193
25	lysozyme 2	ENSMUSG00000069516
26	peroxisome proliferator activated receptor gamma	ENSMUSG00000000440
27	KIT proto-oncogene receptor tyrosine kinase	ENSMUSG00000005672
28	Kirsten rat sarcoma viral oncogene homolog	ENSMUSG00000030265
29	forkhead box P3	ENSMUSG00000039521
30	vascular endothelial growth factor A	ENSMUSG00000023951
31	caspase 3	ENSMUSG00000031628
32	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	ENSMUSG00000028163
33	hypoxia inducible factor 1, alpha subunit	ENSMUSG00000021109
34	prion protein	ENSMUSG00000079037
35	amyloid beta (A4) precursor protein	ENSMUSG00000022892
36	platelet/endothelial cell adhesion molecule 1	ENSMUSG00000020717
37	interleukin 17A	ENSMUSG00000025929
38	brain derived neurotrophic factor	ENSMUSG00000048482
39	estrogen receptor 1 (alpha)	ENSMUSG00000019768
40	interleukin 4	ENSMUSG00000000869
41	NLR family, pyrin domain containing 3	ENSMUSG00000032691
42	nitric oxide synthase 3, endothelial cell	ENSMUSG00000028978
43	notch 1	ENSMUSG00000026923
44	presenilin 1	ENSMUSG00000019969
45	paired box 6	ENSMUSG00000027168
46	mitogen-activated protein kinase 14	ENSMUSG00000053436
47	sirtuin 1	ENSMUSG00000020063
48	mechanistic target of rapamycin kinase	ENSMUSG00000028991
49	prostaglandin-endoperoxide synthase 2	ENSMUSG00000032487
50	protein kinase, DNA activated, catalytic polypeptide	ENSMUSG00000022672
51	insulin-like growth factor 1	ENSMUSG00000020053
52	recombination activating gene 2	ENSMUSG00000032864
53	tumor necrosis factor receptor superfamily, member 1a	ENSMUSG00000030341
54	cadherin 1	ENSMUSG00000000303
55	chemokine (C-X3-C motif) receptor 1	ENSMUSG00000052336
56	myelocytomatosis oncogene	ENSMUSG00000022346
57	gap junction protein, alpha 1	ENSMUSG00000050953
58	interleukin 1 beta	ENSMUSG00000027398
59	interferon (alpha and beta) receptor 1	ENSMUSG00000022967
60	matrix metallopeptidase 9	ENSMUSG00000017737
61	antigen identified by monoclonal antibody Ki 67	ENSMUSG00000031004
62	peroxisome proliferator activated receptor alpha	ENSMUSG00000022383
63	cyclin dependent kinase inhibitor 2A	ENSMUSG00000044303
64	SRY (sex determining region Y)-box 9	ENSMUSG00000000567
65	mitogen-activated protein kinase 1	ENSMUSG00000063358
66	chemokine (C-C motif) ligand 2	ENSMUSG00000035385
67	SRY (sex determining region Y)-box 2	ENSMUSG00000074637
68	bone morphogenetic protein 4	ENSMUSG00000021835
69	heme oxygenase 1	ENSMUSG00000005413
71	aryl-hydrocarbon receptor	ENSMUSG00000019256
72	cannabinoid receptor 1 (brain)	ENSMUSG00000044288
73	epidermal growth factor receptor	ENSMUSG00000020122
74	transient receptor potential cation channel, subfamily V, member 1	ENSMUSG00000005952
75	cyclin-dependent kinase inhibitor 1A (P21)	ENSMUSG00000023067
76	chemokine (C-C motif) receptor 2	ENSMUSG00000049103
77	parvalbumin	ENSMUSG00000005716
78	tubulin, beta 3 class III	ENSMUSG00000062380
79	beta-2 microglobulin	ENSMUSG00000060802
80	fragile X messenger ribonucleoprotein 1	ENSMUSG00000000838
81	glycogen synthase kinase 3 beta	ENSMUSG00000022812
82	nitric oxide synthase 1, neuronal	ENSMUSG00000029361
83	secreted phosphoprotein 1	ENSMUSG00000029304
84	toll-like receptor 9	ENSMUSG00000045322
85	superoxide dismutase 1, soluble	ENSMUSG00000022982
86	caveolin 1, caveolae protein	ENSMUSG00000007655
87	microtubule-associated protein tau	ENSMUSG00000018411
88	patched 1	ENSMUSG00000021466
89	mitogen-activated protein kinase 3	ENSMUSG00000063065
90	huntingtin	ENSMUSG00000029104
91	methyl CpG binding protein 2	ENSMUSG00000031393
92	signal transducer and activator of transcription 1	ENSMUSG00000026104
93	cytochrome b-245, beta polypeptide	ENSMUSG00000015340
94	glial fibrillary acidic protein	ENSMUSG00000020932
95	insulin II	ENSMUSG00000000215
96	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	ENSMUSG00000029167
97	actin alpha 2, smooth muscle, aorta	ENSMUSG00000035783
98	ISL1 transcription factor, LIM/homeodomain	ENSMUSG00000042258
99	kinase insert domain protein receptor	ENSMUSG00000062960
100	RB transcriptional corepressor 1	ENSMUSG00000022105
101	androgen receptor	ENSMUSG00000046532
102	BCL2-associated X protein	ENSMUSG00000003873
103	collagen, type I, alpha 1	ENSMUSG00000001506
104	Fas ligand (TNF superfamily, member 6)	ENSMUSG00000000817
105	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	ENSMUSG00000024927
106	runt related transcription factor 2	ENSMUSG00000039153
107	cyclin-dependent kinase inhibitor 1B	ENSMUSG00000003031
108	cystic fibrosis transmembrane conductance regulator	ENSMUSG00000041301
109	histocompatibility 2, class II antigen A, beta 1	ENSMUSG00000073421
110	interleukin 2	ENSMUSG00000027720
111	integrin beta 1 (fibronectin receptor beta)	ENSMUSG00000025809
112	phosphodiesterase 6B, cGMP, rod receptor, beta polypeptide	ENSMUSG00000029491
113	reelin	ENSMUSG00000042453
115	adiponectin, C1Q and collagen domain containing	ENSMUSG00000022878
116	tumor necrosis factor (ligand) superfamily, member 11	ENSMUSG00000022015
117	B cell leukemia/lymphoma 2	ENSMUSG00000057329
118	immunoglobulin heavy constant mu	ENSMUSG00000076617
119	POU domain, class 5, transcription factor 1	ENSMUSG00000024406
120	caspase 1	ENSMUSG00000025888
121	high mobility group box 1	ENSMUSG00000066551
122	Rac family small GTPase 1	ENSMUSG00000001847
123	bone morphogenetic protein 2	ENSMUSG00000027358
124	mitogen-activated protein kinase 8	ENSMUSG00000021936
125	fibroblast growth factor 8	ENSMUSG00000025219
126	forkhead box N1	ENSMUSG00000002057
128	tyrosine hydroxylase	ENSMUSG00000000214
129	poly (ADP-ribose) polymerase family, member 1	ENSMUSG00000026496
130	calbindin 1	ENSMUSG00000028222
131	SMAD family member 3	ENSMUSG00000032402
132	nerve growth factor receptor (TNFR superfamily, member 16)	ENSMUSG00000000120
134	forkhead box O1	ENSMUSG00000044167
135	nuclear receptor subfamily 3, group C, member 1	ENSMUSG00000024431
136	nestin	ENSMUSG00000004891
137	ataxia telangiectasia mutated	ENSMUSG00000034218
138	CD4 antigen	ENSMUSG00000023274
139	cAMP responsive element binding protein 1	ENSMUSG00000025958
140	interleukin 1 receptor, type I	ENSMUSG00000026072
141	interleukin 2 receptor, gamma chain	ENSMUSG00000031304
142	jun proto-oncogene	ENSMUSG00000052684
143	purinergic receptor P2X, ligand-gated ion channel, 7	ENSMUSG00000029468
144	chemokine (C-X-C motif) ligand 12	ENSMUSG00000061353
145	synuclein, alpha	ENSMUSG00000025889
146	cyclin D1	ENSMUSG00000070348
147	CD44 antigen	ENSMUSG00000005087
148	FBJ osteosarcoma oncogene	ENSMUSG00000021250
149	somatostatin	ENSMUSG00000004366
150	complement component 3	ENSMUSG00000024164
151	CD19 antigen	ENSMUSG00000030724
152	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	ENSMUSG00000021609
153	intercellular adhesion molecule 1	ENSMUSG00000037405
154	interleukin 18	ENSMUSG00000039217
155	signal transducer and activator of transcription 6	ENSMUSG00000002147
156	estrogen receptor 2 (beta)	ENSMUSG00000021055
157	fibroblast growth factor 2	ENSMUSG00000037225
158	interleukin 12b	ENSMUSG00000004296
159	interleukin 33	ENSMUSG00000024810
160	glutamate decarboxylase 1	ENSMUSG00000070880
161	GLI-Kruppel family member GLI1	ENSMUSG00000025407
162	interferon gamma receptor 1	ENSMUSG00000020009
163	myelin basic protein	ENSMUSG00000041607
164	paired box 3	ENSMUSG00000004872
165	period circadian clock 2	ENSMUSG00000055866
166	basic helix-loop-helix ARNT like 1	ENSMUSG00000055116
167	chemokine (C-X-C motif) receptor 4	ENSMUSG00000045382
168	colony stimulating factor 1 (macrophage)	ENSMUSG00000014599
169	myogenic differentiation 1	ENSMUSG00000009471
170	neurotrophic tyrosine kinase, receptor, type 2	ENSMUSG00000055254
171	tumor necrosis factor receptor superfamily, member 1b	ENSMUSG00000028599
172	CD40 antigen	ENSMUSG00000017652
174	opioid receptor, mu 1	ENSMUSG00000000766
175	solute carrier family 2 (facilitated glucose transporter), member 4	ENSMUSG00000018566
176	vitamin D (1,25-dihydroxyvitamin D3) receptor	ENSMUSG00000022479
177	adenosine A2a receptor	ENSMUSG00000020178
178	dopamine receptor D2	ENSMUSG00000032259
179	glucagon	ENSMUSG00000000394
180	glutamate receptor, ionotropic, NMDA1 (zeta 1)	ENSMUSG00000026959
181	nonagouti	ENSMUSG00000027596
182	protein kinase, AMP-activated, alpha 1 catalytic subunit	ENSMUSG00000050697
183	programmed cell death 1	ENSMUSG00000026285
184	platelet derived growth factor receptor, alpha polypeptide	ENSMUSG00000029231
185	protein tyrosine phosphatase, receptor type, C	ENSMUSG00000026395
186	brachyury, T-box transcription factor T	ENSMUSG00000062327
187	angiotensin II receptor, type 1a	ENSMUSG00000049115
188	colony stimulating factor 2 (granulocyte-macrophage)	ENSMUSG00000018916
189	empty spiracles homeobox 1	ENSMUSG00000033726
190	PTK2 protein tyrosine kinase 2	ENSMUSG00000022607
191	fibroblast growth factor receptor 2	ENSMUSG00000030849
192	matrix metallopeptidase 2	ENSMUSG00000031740
193	neural cell adhesion molecule 1	ENSMUSG00000039542
194	perforin 1 (pore forming protein)	ENSMUSG00000037202
195	tyrosinase	ENSMUSG00000004651
196	runt related transcription factor 1	ENSMUSG00000022952
197	CD28 antigen	ENSMUSG00000026012
198	CD36 molecule	ENSMUSG00000002944
199	CCAAT/enhancer binding protein (C/EBP), beta	ENSMUSG00000056501
200	forkhead box A2	ENSMUSG00000037025
201	insulin-like growth factor I receptor	ENSMUSG00000005533
202	advanced glycosylation end product-specific receptor	ENSMUSG00000015452
203	early growth response 1	ENSMUSG00000038418
204	toll-like receptor 3	ENSMUSG00000031639
205	hypoxanthine guanine phosphoribosyl transferase	ENSMUSG00000025630
206	interleukin 15	ENSMUSG00000031712
207	insulin receptor	ENSMUSG00000005534
208	CD8 antigen, alpha chain	ENSMUSG00000053977
209	choline acetyltransferase	ENSMUSG00000021919
210	eomesodermin	ENSMUSG00000032446
211	insulin-like growth factor 2	ENSMUSG00000048583
212	toll-like receptor 7	ENSMUSG00000044583
213	kit ligand	ENSMUSG00000019966
214	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	ENSMUSG00000033307
215	neurofilament, medium polypeptide	ENSMUSG00000022054
216	collagen, type II, alpha 1	ENSMUSG00000022483
217	Fyn proto-oncogene	ENSMUSG00000019843
218	interleukin 13	ENSMUSG00000020383
219	insulin I	ENSMUSG00000035804
220	melanogenesis associated transcription factor	ENSMUSG00000035158
221	WT1 transcription factor	ENSMUSG00000016458
222	yes-associated protein 1	ENSMUSG00000053110
223	fibroblast growth factor receptor 1	ENSMUSG00000031565
224	GATA binding protein 4	ENSMUSG00000021944
225	lectin, galactose binding, soluble 3	ENSMUSG00000050335
226	serine (or cysteine) peptidase inhibitor, clade E, member 1	ENSMUSG00000037411
227	T-box 21	ENSMUSG00000001444
228	cholinergic receptor, nicotinic, alpha polypeptide 7	ENSMUSG00000030525
229	ras homolog family member A	ENSMUSG00000007815
230	calcium/calmodulin-dependent protein kinase II alpha	ENSMUSG00000024617
231	erb-b2 receptor tyrosine kinase 2	ENSMUSG00000062312
